key,file,line,kind
"DEV","frontend/src/e2e/browser-overlay-harness.tsx","137","property"
"DEV","frontend/src/features/terminal/browser-presentation/coordinator.ts","14","property"
"DEV","frontend/src/main.tsx","43","property"
"DEV","frontend/src/services/suiji.ts","42","property"
"DEV_BACKEND_HEALTHCHECK_TIMEOUT_MS","scripts/dev/web.mjs","114","property"
"DEV_HOST","scripts/dev/electron.mjs","19","property"
"DEV_HOST","scripts/dev/web.mjs","148","property"
"ELECTRON_BUILDER_CACHE","scripts/electron/dist-retry.mjs","328","property"
"ELECTRON_CACHE","scripts/electron/dist-retry.mjs","326","property"
"ELECTRON_RUN_AS_NODE","backend/src/auth/config.ts","33","property"
"ELECTRON_RUN_AS_NODE","backend/src/terminal/runtime/env.ts","35","property"
"FEISHU_ALLOWED_OPEN_IDS","packages/runweave-cli/src/feishu/config.ts","27","property"
"FEISHU_APP_ID","packages/runweave-cli/src/feishu/config.ts","15","property"
"FEISHU_APP_SECRET","packages/runweave-cli/src/feishu/config.ts","16","property"
"FEISHU_NOTIFY_DEBUG_PAYLOAD","electron/resources/hooks/feishu_stop_notify.sh","229","supplemental-literal"
"FEISHU_NOTIFY_DEBUG_PAYLOAD","electron/resources/hooks/pi/bridge/feishu_stop_notify.sh","229","supplemental-literal"
"FEISHU_NOTIFY_DEBUG_PAYLOAD","packages/agent-bridge/hooks/feishu_stop_notify.sh","229","supplemental-literal"
"FEISHU_NOTIFY_DEBUG_PAYLOAD","plugins/toolkit/hooks/feishu_stop_notify.sh","229","supplemental-literal"
"FEISHU_NOTIFY_ENV","electron/resources/hooks/feishu_stop_notify.sh","5","supplemental-literal"
"FEISHU_NOTIFY_ENV","electron/resources/hooks/pi/bridge/feishu_stop_notify.sh","5","supplemental-literal"
"FEISHU_NOTIFY_ENV","packages/agent-bridge/hooks/feishu_stop_notify.sh","5","supplemental-literal"
"FEISHU_NOTIFY_ENV","plugins/toolkit/hooks/feishu_stop_notify.sh","5","supplemental-literal"
"FEISHU_NOTIFY_LOG","electron/resources/hooks/feishu_stop_notify.sh","6","supplemental-literal"
"FEISHU_NOTIFY_LOG","electron/resources/hooks/pi/bridge/feishu_stop_notify.sh","6","supplemental-literal"
"FEISHU_NOTIFY_LOG","packages/agent-bridge/hooks/feishu_stop_notify.sh","6","supplemental-literal"
"FEISHU_NOTIFY_LOG","plugins/toolkit/hooks/feishu_stop_notify.sh","6","supplemental-literal"
"FEISHU_NOTIFY_OPEN_IDS","packages/runweave-cli/src/feishu/config.ts","33","property"
"FEISHU_NOTIFY_TRANSPORT","electron/resources/hooks/feishu_stop_notify.sh","233","supplemental-literal"
"FEISHU_NOTIFY_TRANSPORT","electron/resources/hooks/pi/bridge/feishu_stop_notify.sh","233","supplemental-literal"
"FEISHU_NOTIFY_TRANSPORT","packages/agent-bridge/hooks/feishu_stop_notify.sh","233","supplemental-literal"
"FEISHU_NOTIFY_TRANSPORT","plugins/toolkit/hooks/feishu_stop_notify.sh","233","supplemental-literal"
"FEISHU_TARGET_CHAT_ID","packages/runweave-cli/src/feishu/config.ts","17","property"
"FEISHU_WEBHOOK_SECRET","electron/resources/hooks/feishu_stop_notify.sh","132","supplemental-literal"
"FEISHU_WEBHOOK_SECRET","electron/resources/hooks/feishu_stop_notify.sh","143","supplemental-literal"
"FEISHU_WEBHOOK_SECRET","electron/resources/hooks/pi/bridge/feishu_stop_notify.sh","132","supplemental-literal"
"FEISHU_WEBHOOK_SECRET","electron/resources/hooks/pi/bridge/feishu_stop_notify.sh","143","supplemental-literal"
"FEISHU_WEBHOOK_SECRET","packages/agent-bridge/hooks/feishu_stop_notify.sh","132","supplemental-literal"
"FEISHU_WEBHOOK_SECRET","packages/agent-bridge/hooks/feishu_stop_notify.sh","143","supplemental-literal"
"FEISHU_WEBHOOK_SECRET","plugins/toolkit/hooks/feishu_stop_notify.sh","132","supplemental-literal"
"FEISHU_WEBHOOK_SECRET","plugins/toolkit/hooks/feishu_stop_notify.sh","143","supplemental-literal"
"FEISHU_WEBHOOK_URL","electron/resources/hooks/feishu_stop_notify.sh","127","supplemental-literal"
"FEISHU_WEBHOOK_URL","electron/resources/hooks/feishu_stop_notify.sh","154","supplemental-literal"
"FEISHU_WEBHOOK_URL","electron/resources/hooks/pi/bridge/feishu_stop_notify.sh","127","supplemental-literal"
"FEISHU_WEBHOOK_URL","electron/resources/hooks/pi/bridge/feishu_stop_notify.sh","154","supplemental-literal"
"FEISHU_WEBHOOK_URL","packages/agent-bridge/hooks/feishu_stop_notify.sh","127","supplemental-literal"
"FEISHU_WEBHOOK_URL","packages/agent-bridge/hooks/feishu_stop_notify.sh","154","supplemental-literal"
"FEISHU_WEBHOOK_URL","plugins/toolkit/hooks/feishu_stop_notify.sh","127","supplemental-literal"
"FEISHU_WEBHOOK_URL","plugins/toolkit/hooks/feishu_stop_notify.sh","154","supplemental-literal"
"FORCE_COLOR","backend/src/terminal/runtime/env.ts","36","property"
"FORCE_COLOR","backend/src/terminal/runtime/env.ts","37","property"
"FRONTEND_DIST_DIR","backend/src/server/frontend-dist.ts","16","property"
"FRONTEND_DIST_DIR","scripts/release/backend-start.mjs","21","property"
"FRONTEND_ORIGIN","backend/src/index.ts","136","property"
"GIT_DIR","scripts/evolution/verify-repository-fixtures.mjs","87","property"
"GIT_DIR","scripts/evolution/verify-repository-fixtures.mjs","89","property"
"HOME","backend/src/evolution/providers/process-runner.ts","13","dynamic-allowlist"
"HOME","electron/resources/hooks/feishu_stop_notify.sh","5","supplemental-literal"
"HOME","electron/resources/hooks/feishu_stop_notify.sh","6","supplemental-literal"
"HOME","electron/resources/hooks/feishu_stop_notify.sh","219","supplemental-literal"
"HOME","electron/resources/hooks/feishu_stop_notify.sh","230","supplemental-literal"
"HOME","electron/resources/hooks/pi/bridge/feishu_stop_notify.sh","5","supplemental-literal"
"HOME","electron/resources/hooks/pi/bridge/feishu_stop_notify.sh","6","supplemental-literal"
"HOME","electron/resources/hooks/pi/bridge/feishu_stop_notify.sh","219","supplemental-literal"
"HOME","electron/resources/hooks/pi/bridge/feishu_stop_notify.sh","230","supplemental-literal"
"HOME","packages/agent-bridge/hooks/feishu_stop_notify.sh","5","supplemental-literal"
"HOME","packages/agent-bridge/hooks/feishu_stop_notify.sh","6","supplemental-literal"
"HOME","packages/agent-bridge/hooks/feishu_stop_notify.sh","219","supplemental-literal"
"HOME","packages/agent-bridge/hooks/feishu_stop_notify.sh","230","supplemental-literal"
"HOME","packages/suiji-server/src/reviews/codex.ts","86","dynamic-allowlist"
"HOME","plugins/toolkit/hooks/feishu_stop_notify.sh","5","supplemental-literal"
"HOME","plugins/toolkit/hooks/feishu_stop_notify.sh","6","supplemental-literal"
"HOME","plugins/toolkit/hooks/feishu_stop_notify.sh","219","supplemental-literal"
"HOME","plugins/toolkit/hooks/feishu_stop_notify.sh","230","supplemental-literal"
"HOST","backend/src/server/runtime-config.ts","46","property"
"HTTP_PROXY","backend/src/evolution/providers/process-runner.ts","20","dynamic-allowlist"
"HTTP_PROXY","packages/suiji-server/src/reviews/codex.ts","93","dynamic-allowlist"
"HTTPS_PROXY","backend/src/evolution/providers/process-runner.ts","21","dynamic-allowlist"
"HTTPS_PROXY","packages/suiji-server/src/reviews/codex.ts","94","dynamic-allowlist"
"LANG","backend/src/evolution/providers/process-runner.ts","18","dynamic-allowlist"
"LANG","backend/src/terminal/tmux/internals.ts","81","property"
"LANG","backend/src/terminal/tmux/process.ts","209","property"
"LANG","electron/src/companion/agent.ts","48","dynamic-allowlist"
"LANG","packages/suiji-server/src/reviews/codex.ts","89","dynamic-allowlist"
"LANG","scripts/dev-session/verify/backend-profile-lock.mjs","172","property"
"LC_ALL","backend/src/evolution/providers/process-runner.ts","19","dynamic-allowlist"
"LC_ALL","backend/src/terminal/tmux/internals.ts","81","property"
"LC_ALL","backend/src/terminal/tmux/process.ts","215","property"
"LC_ALL","backend/src/terminal/tmux/process.ts","218","property"
"LC_ALL","electron/src/companion/agent.ts","48","dynamic-allowlist"
"LC_ALL","packages/suiji-server/src/reviews/codex.ts","90","dynamic-allowlist"
"LC_ALL","scripts/dev-session/verify/backend-profile-lock.mjs","171","property"
"LC_CTYPE","backend/src/terminal/tmux/internals.ts","81","property"
"LC_CTYPE","backend/src/terminal/tmux/process.ts","213","property"
"LIVE_AUTH_TOKEN","backend/.env.example","9","template"
"LIVE_SMOKE_ENABLED","backend/.env.example","7","template"
"LIVE_TARGET_URL","backend/.env.example","8","template"
"LOCALAPPDATA","scripts/electron/dist-retry.mjs","20","property"
"MIGRATION_DATABASE_URL","deploy/suiji/entrypoint.mjs","33","property"
"MIGRATION_DATABASE_URL","packages/suiji-server/scripts/admin.ts","8","property"
"MIGRATION_DATABASE_URL","packages/suiji-server/scripts/admin.ts","27","property"
"MIGRATION_DATABASE_URL","packages/suiji-server/scripts/mcp-credentials.ts","14","property"
"MIGRATION_DATABASE_URL","packages/suiji-server/scripts/mcp-credentials.ts","15","property"
"MIGRATION_DATABASE_URL","packages/suiji-server/scripts/migrate.ts","13","property"
"MIGRATION_DATABASE_URL","packages/suiji-server/scripts/migrate.ts","16","property"
"MIGRATION_DATABASE_URL","packages/suiji-server/src/config.ts","50","property"
"MODEL_FIXTURE_MODE","scripts/verify/agent-team/model-config.mjs","170","property"
"MODEL_FIXTURE_MODE","scripts/verify/agent-team/model-config.mjs","196","property"
"MODEL_FIXTURE_MODE","scripts/verify/agent-team/model-config.mjs","207","property"
"NO_COLOR","backend/src/terminal/runtime/env.ts","34","property"
"NO_PROXY","backend/src/evolution/providers/process-runner.ts","22","dynamic-allowlist"
"NO_PROXY","packages/suiji-server/src/reviews/codex.ts","96","dynamic-allowlist"
"NODE_ENV","backend/src/auth/config.ts","32","property"
"NODE_ENV","backend/src/logging/logger.ts","68","property"
"NODE_ENV","packages/suiji-server/src/config.ts","4","schema"
"NODE_EXTRA_CA_CERTS","backend/src/evolution/providers/process-runner.ts","23","dynamic-allowlist"
"NVM_DIR","backend/src/terminal/tmux/process.ts","198","property"
"OPENSSL_BIN","electron/resources/hooks/feishu_stop_notify.sh","7","supplemental-literal"
"OPENSSL_BIN","electron/resources/hooks/feishu_stop_notify.sh","135","supplemental-literal"
"OPENSSL_BIN","electron/resources/hooks/pi/bridge/feishu_stop_notify.sh","7","supplemental-literal"
